tanggal,pelanggan_id,card_type,gate_in_boo,amount,status_var,no_body_var,route_code,route_name,tarif
2025-10-05,BUS-001,REG,1,7000,F,LGS_9,R010,Kota-Center,7000
2025-10-06,BUS-002,STUDENT,0,7000,S,BRT_123,R001,Kota-Center,7000
2025-10-03,BUS-003,REG,0,5000,S,LGS 7,R005,Mall-Express,5000
2025-10-07,BUS-004,SENIOR,1,2000,S,LGS 7,R001,Mall-Express,2000
2025-10-07,BUS-005,REG,0,3500,S,BRT_123,R001,Kota-Center,3500
2025-10-06,BUS-006,REG,0,2000,F,LGS_9,R005,Bandara-Line,2000
2025-10-05,BUS-007,SENIOR,0,7000,S,BRT_123,R010,Mall-Express,7000
2025-10-05,BUS-008,SENIOR,1,7000,F,LGS_251A,R005,Kota-Center,7000
2025-10-07,BUS-009,REG,0,7000,F,BRT 15,R010,Kota-Center,7000
2025-10-02,BUS-010,STUDENT,1,2000,S,LGS_9,R001,Bandara-Line,2000
2025-10-03,BUS-011,SENIOR,0,3500,F,LGS_9,R005,Bandara-Line,3500
2025-10-06,BUS-012,STUDENT,1,5000,F,BRT 15,R010,Bandara-Line,5000
2025-10-07,BUS-013,STUDENT,0,2000,F,BRT 15,R001,Kota-Center,2000
2025-10-03,BUS-014,SENIOR,1,5000,F,BRT 15,R010,Kota-Center,5000
2025-10-07,BUS-015,SENIOR,1,7000,S,BRT_123,R010,Mall-Express,7000
